"new_key","fish_count_new","FMU_Code","z_lake_area","z_max_depth","z_secchi","z_doy","z_temp_mean_contemp","z_ws_forest","z_ws_wetland","z_temp_mean_hist","temp_mean_contemp","temp_mean_hist","group","effort","gear","gear_index","IND","doy_median","site","z_temp_change","dens_change","sum_dens_hist","sum_dens_cont"
"52-139",1,"MI-MES",-0.732608446255385,0.208879602264564,1.91719874169337,1.65892293093929,-1.02706658005991,1.64255697982564,-0.896930766244015,-1.16931958585933,15.1102,14.84362,3,1,"seine",3,1,-0.1325897,155,0.142253005799425,0.0660628163424385,0.920367701184693,0.986430517527131
"52-182",0,"MI-MNM",0.540538127722078,0.434988675363057,0.73050535905753,0.00177377485264875,-0.678300059632798,0.241241979387973,-0.682144612537092,-0.811832983806277,15.42769,15.18698,5,1,"seine",3,1,-0.1325897,156,0.13353292417348,0.123536041948415,1.67557522552415,1.79911126747256
"52-196",18,"MI-MNM",0.169284532219846,-0.463270851785498,-0.430275725791825,-0.0878018552060889,-0.34234898078489,0.404107963137049,0.368635189475879,-0.487785738069343,15.73982,15.50508,5,1,"seine",3,1,-0.1325897,157,0.145436757284454,0.114200483461548,1.46658511752909,1.58078560099064
"52-255",23,"MI-MNM",-0.718934129240798,0.298828321263663,0.443821135686694,0.807954445381287,-0.973914683811629,0.365608477183675,-0.356446585901903,-1.04195726890092,15.15816,14.96505,5,1,"seine",3,1,-0.1325897,158,0.0680425850892937,0.0639555925405723,1.96761725942052,2.03157285196109
"52-259",50,"MI-MNM",-0.499504367674924,0.113309194411649,1.39383736261078,0.539227555205075,-1.10630857277863,1.52073781909974,-1.2007128985464,-1.13951261837941,15.03898,14.87195,5,1,"seine",3,1,-0.1325897,159,0.0332040456007705,0.0282730254270499,1.78263504755442,1.81090807298147
"52-666",1,"MI-MNM",-0.0322414984997973,1.320429951958,1.34675215917501,0.494439740175706,-1.7038493227669,0.84250529068114,0.0505177698921637,-1.5642001980539,14.51263,14.47336,5,1,"seine",3,1,-0.1325897,160,-0.139649124713002,-0.131443588708609,2.12416574516255,1.99272215645395
"52-710",0,"MI-MES",-1.5033144046758,-0.888133998136871,0.662870043815085,0.494439740175706,-0.0520985450284609,1.2152160569839,0.236303188077086,-0.257511025218675,16.01457,15.73517,3,1,"seine",3,1,-0.1325897,161,0.205412480190214,0.135506574243225,1.23426035638998,1.36976693063321
"52-846",0,"MI-MNM",-0.947345622682047,0.581944073714831,0.858815969186042,0.225712849999493,-1.42324367357136,1.10180574268414,-0.460043139173912,-1.32606199960113,14.75747,14.69553,5,1,"seine",3,1,-0.1325897,162,-0.0971816739702285,-0.0868349965401335,2.04087170772242,1.95403671118228
"54-118",54,"MI-MSH",-0.436106403395244,-0.628081921068926,0.282000318129149,0.404864110116968,0.800275096857288,-0.221870363733528,1.36120892185876,0.827667370871885,16.84946,16.86629,6,1,"seine",3,1,-0.1325897,163,-0.0273922740145964,-0.222792727866879,14.9246024854015,14.7018097575347
"54-194",31,"MI-MSH",-0.661173945099367,-0.363472931177793,0.592681857621888,-0.983558155793465,0.887229349063944,-0.0396473582905836,0.56622999601108,0.877461337200203,16.93704,16.9201,6,1,"seine",3,1,-0.1325897,164,0.00976801186374099,0.0895126220809455,16.1546471583394,16.2441597804203
"54-195",73,"MI-MSH",-1.4050175778013,-0.689379924883991,-0.430275725791825,-1.11792160088157,1.12151117512258,1.37757104937925,-0.957157483817534,1.0959617987243,17.17528,17.15826,6,1,"seine",3,1,-0.1325897,165,0.0255493763982788,0.162775582258436,11.0092215671345,11.171997149393
"54-232",53,"MI-MSH",0.921063450195104,0.178145009984081,0.443821135686694,-0.849194710705359,0.440445969027274,0.00661361876364661,0.366887679302802,0.483827454392546,16.49183,16.49936,6,1,"seine",3,1,-0.1325897,166,-0.0433814853652728,-0.23880983113559,9.26801139619043,9.02920156505484
"54-306",0,"MI-MCM",-1.89424281676753,-1.12582423371506,-0.845270559291169,-0.983558155793465,1.27223614808438,1.57788824076471,-0.880965564652473,1.25193980364124,17.33032,17.33032,1,1,"seine",3,1,-0.1325897,167,0.0202963444431445,0.177658682990937,15.9011382710045,16.0787969539955
"54-90",35,"MI-MSH",1.47115129450215,0.355201407725916,0.592681857621888,0.270500665028862,0.768251320869952,-0.348088676384494,1.32513772857005,0.790837670250391,16.81732,16.8266,6,1,"seine",3,1,-0.1325897,168,-0.0225863493804389,-0.195217674589788,13.5213087135313,13.3260910389415
"56-14",6,"MI-MSH",1.32721369466761,-0.689379924883991,-0.908319519075845,0.0913494049113864,1.01759756332379,-0.3749861625509,0.731147419555009,1.13124414998927,17.0692,17.19703,6,1,"seine",3,1,-0.1325897,169,-0.113646586665478,-0.577593989123393,7.8601179430717,7.28252395394831
"57-45",133,"MI-MCM",1.60050688619895,-0.363472931177793,0.120794198331303,-0.177377485264827,0.215288679034681,0.307579300133988,-0.417867214595257,0.17147870065468,16.27192,16.17296,1,1,"seine",3,1,-0.1325897,170,0.0438099783800016,0.179554132328338,6.66531089947691,6.84486503180524
"59-369",67,"MI-MCM",-0.130980653114584,0.298828321263663,0.858815969186042,-1.0731337858522,0.502471032730916,0.508639908230548,0.099225360482985,0.549273022385127,16.55293,16.56858,1,1,"seine",3,1,-0.1325897,171,-0.0468019896542117,-0.467063251700948,18.1001143701766,17.6330511184756
"60-162",2,"MI-MNH",0.416275319170735,1.02835331028761,1.73291283066456,-1.20749723094031,-0.778772175609036,0.596277505449285,-1.44872747238043,-0.892420562812008,15.33555,15.10889,4,1,"seine",3,1,-0.1325897,172,0.113648387202972,0.158638748805382,2.59022025912069,2.74885900792607
"60-167",4,"MI-MNH",-0.424133378632936,0.461084621479215,1.09159015138641,-0.446104375441039,0.00544757177746564,0.892803932290618,-0.528182641945644,-0.177809946456131,16.06961,15.8156,4,1,"seine",3,1,-0.1325897,173,0.183257518233596,0.386039228412596,3.76086464002612,4.14690386843871
"60-223",12,"MI-MNH",0.484826865938897,0.0101255290116841,0.104745667632915,0.71837881532255,-1.14529906074402,0.488696066455085,0.828527246626888,-1.2118187699166,15.00406,14.80332,4,1,"seine",3,1,-0.1325897,174,0.0665197091725758,0.0475412169702532,1.58069974938358,1.62824096635384
"60-226",82,"MI-MNH",0.747167878759389,-2.1151140414149,-0.310249165866433,-0.670043450587884,0.377700692019928,0.560299961162169,0.613667784847628,0.172251941684898,16.43025,16.17376,4,1,"seine",3,1,-0.1325897,175,0.20544875033503,0.198487802378652,1.67264152155352,1.87112932393217
"60-71",18,"MI-MNH",-0.465141371263244,0.461084621479215,0.104745667632915,-1.38664849105778,0.164622323487916,0.802562982250487,-0.196049354139234,-0.00453595550252376,16.22284,15.99188,4,1,"seine",3,1,-0.1325897,176,0.16915827899044,0.314592324960731,3.29296845914622,3.60756078410695
"60-91",1,"MI-MNH",-0.477720230288241,0.461084621479215,1.09159015138641,-0.446104375441039,-0.531200679562478,-0.180352070437999,0.262032605489829,-0.623981606895333,15.56359,15.37058,4,1,"seine",3,1,-0.1325897,177,0.0927809273328547,0.179076788247206,3.91298846658014,4.09206525482735
"61-109",28,"MI-MCM",-0.461535590180926,-0.888133998136871,0.795767009401366,-0.893982525734728,1.38610874328279,-0.115819474087692,-0.591616338907002,1.29331500846857,17.44838,17.37625,1,1,"seine",3,1,-0.1325897,178,0.0927937348142209,1.36902863552488,22.6415516108487,24.0105802463736
"61-66",12,"MI-MCM",2.18240977406386,0.814796428780787,-2.13436225426904,-0.759619080646621,0.203131564485658,-1.40931498242211,-1.06950451694972,0.0306639789613378,16.26013,16.02793,1,1,"seine",3,1,-0.1325897,179,0.172467585524321,0.5409239728894,4.35607400815595,4.89699798104535
"62-11",29,"MI-MCM",-0.992606463422616,0.814796428780787,0.519740501132261,0.0465615898820176,0.68013504609036,-1.00181851603999,-1.45167823851511,0.714648528398973,16.7292,16.74479,1,1,"seine",3,1,-0.1325897,180,-0.0345134823086136,-0.482355743280103,24.0714130498893,23.5890573066092
"62-128",6,"MI-MCM",0.956367255554454,1.16795421369018,-0.310249165866433,0.0913494049113864,-0.328640181716647,-1.46435141875663,-0.244256830822405,-0.257093774385718,15.75269,15.73559,1,1,"seine",3,1,-0.1325897,181,-0.0715464073309295,-0.341595511095899,8.90007751834804,8.55848200725215
"62-269",24,"MI-MCM",-0.0978465261290776,-0.411594099569675,0.282000318129149,-0.401316560411671,0.947725615381851,1.22699277700291,-0.78114405097364,0.938052844863304,16.99824,16.98581,1,1,"seine",3,1,-0.1325897,182,0.00967277051854709,0.0786624881853285,13.3208335255102,13.3994960136956
"63-1047",12,"MI-MSH",0.0956113509482475,-0.363472931177793,0.282000318129149,0.180925034970124,0.0159964762416037,0.565353803542008,-0.102947352943922,0.140750090655988,16.07972,16.1412,6,1,"seine",3,1,-0.1325897,183,-0.124753614414385,-0.435516588093396,6.84608062940023,6.41056404130684
"63-1203",33,"MI-MER",-0.422473074759844,0.55896626313636,0.364670203493031,-0.759619080646621,0.462866426898419,-0.938120128506333,0.175188374642253,0.481705013721163,16.51389,16.49712,2,1,"seine",3,1,-0.1325897,184,-0.0188385868227438,-0.109839907137103,10.7393649769591,10.629525069822
"63-1650",14,"MI-MER",0.514900328989501,0.775513526167866,1.03607061968227,-0.849194710705359,1.23575834309834,-0.198003051526248,-0.0877168579900544,1.2349544687535,17.29267,17.3115,2,1,"seine",3,1,-0.1325897,185,0.000803874344844857,0.00878598620577617,15.9498389063636,15.9586248925694
