"ihdlkid","new_key","lake_area_ac","lake_perim_km","lake_order","lake_link_num","uplakes_n","uplakes_area_ac","downlakes_n","downlakes_area_ac","ws_area_km2","lake_area_km2","lake_area_m2","maxdepth_ft","meandepth_ft","maxdepth_m","meandepth_m","geom_ratio","ws_urban_prop","ws_forest_prop","ws_agriculture_prop","ws_shrub_prop","ws_wetland_prop","ws_slope_deg","ws_mean_elevation_m","lake_area_ha","dd_mean","surface_temp_mean"
145333612,NA,29.77762576,1.69,3,24,3,190,12,3859.742902,0.3822,0.12,120503.523774837,NA,NA,NA,NA,NA,0.85846,0.01727,0,0,0.11539,3.03,271.553008,14.033,5043.67512666667,17.3995942088889
145333614,NA,5.509170072,1.06,0,-99,-99,-99,-99,-99,0.6028,0.02,22294.4035935413,NA,NA,NA,NA,NA,0.01776,0.22047,0.14996,0,0.50963,1.68,292.986992,NA,NA,NA
145333616,NA,7.62121634,0.98,0,-99,-99,-99,-99,-99,0.0871,0.03,30841.3918497835,NA,NA,NA,NA,NA,0.09644,0,0.31458,0,0.5729,4.36,277.17,3.086,5051.64484994444,18.0084396438889
145333621,NA,6.478790493,1.3,0,-99,-99,-99,-99,-99,0.0627,0.03,26218.2448828457,NA,NA,NA,NA,NA,0.29346,0.0941,0.15949,0,0.26635,2.22,294.435,2.328,5069.06008666667,18.0298937561111
145333623,"47-546",15.66963713,1.11,1,0,0,0,11,3799.252007,0.1774,0.06,63411.5864594715,NA,NA,NA,NA,NA,0.2796,0.18038,0,0,0.51691,1.48,260.798008,6.34,5057.125276,17.6427608094444
145333647,"47-149",19.10538279,2.08,1,1,1,21,11,3799.252007,2.4987,0.08,77315.2959815467,NA,NA,NA,NA,NA,0.2338,0.29747,0.27034,0.00576,0.1869,3.75,276.3,7.737,5030.94012661111,17.7148525994444
145333656,"47-103",45.34227383,2.16,1,0,0,0,9,3354.632517,0.4117,0.18,183490.242523573,32,12.74688288,9.76,3.89,2.12057396929974,0.4032,0.32622,0.06995,0.02866,0.10153,3.47,266.44,18.349,5462.73652333333,17.7151743005556
145333663,"47-105",41.68286052,1.91,1,0,0,0,11,3545.817374,1.9166,0.17,168681.399053053,20,6.44367413,6.1,1.96,3.32228559836226,0.35276,0.34493,0.03626,0.00579,0.24831,3.51,268.793008,17.095,5257.13276422222,18.1542333472222
145333672,NA,6.079229214,1.43,0,-99,-99,-99,-99,-99,0.5445,0.02,24601.3079762049,NA,NA,NA,NA,NA,0.23839,0.20441,0.44573,0.06832,0.0404,1.68,297.668008,2.304,5103.95802094444,17.9500669494444
145333674,"47-561",5.636111263,1.03,1,0,0,0,0,0,0.8589,0.02,22808.1067662175,NA,NA,NA,NA,NA,0.06951,0.7158,0.01723,0.00931,0.18815,4.83,286.083008,2.281,5055.75960611111,17.7439400544444
145333681,NA,20.29455977,2.03,1,0,0,0,0,0,0.6016,0.08,82127.6345352272,NA,NA,NA,NA,NA,0.53591,0.17304,0.02527,0.04272,0.20063,1.8,289.685996,NA,NA,NA
145333695,NA,5.442884213,1.48,3,10,0,0,14,4034.865182,1.1583,0.02,22026.1592529643,NA,NA,NA,NA,NA,0.52068,0.03954,0.14676,0,0.29302,1.52,277.54,2.203,5085.67806816667,17.9299473177778
145333697,NA,9.557096176,0.77,0,-99,-99,-99,-99,-99,0.2102,0.04,38675.4731738902,NA,NA,NA,NA,NA,0.65176,0.3216,0.0138,0,0.01284,1.5,268.203008,NA,NA,NA
145333701,NA,5.415307589,0.59,0,-99,-99,-99,-99,-99,0.2815,0.02,21914.5627008215,NA,NA,NA,NA,NA,0.03872,0.89876,0,0.00391,0.05506,7.39,287.215996,2.191,5113.14984194444,18.2699162422222
145333708,"47-104",21.59073593,1.3,0,-99,-99,-99,-99,-99,0.2383,0.09,87372.9753146372,NA,NA,NA,NA,NA,0.18926,0.22241,0.26647,0,0.28409,3.07,267.47,8.74,5072.85898594444,17.5683702466667
145333712,NA,9.238746479,0.8,0,-99,-99,-99,-99,-99,0.2866,0.04,37387.1817368783,NA,NA,NA,NA,NA,0.5977,0.11236,0.04117,0.00384,0.20865,2.41,272.524004,3.739,5038.74733594444,17.8967936911111
145333717,NA,5.887589978,0.59,0,-99,-99,-99,-99,-99,0.0092,0.02,23825.7859981385,NA,NA,NA,NA,NA,0.58696,0,0.20652,0,0.08696,3.79,286.189004,2.384,5110.94150866667,18.2418534277778
145333719,"47-153",575.3977148,8.66,0,-99,-99,-99,-99,-99,1.8015,2.33,2328508.41649468,69,13.73355447,21.04,4.19,1.85662296282222,0.78768,0.09892,0.00322,0.0151,0.04879,2.79,278.051992,233.241,5669.60586705556,17.379515715
145333721,"47-116",98.89058108,2.44,0,-99,-99,-99,-99,-99,1.581,0.4,400188.50341953,NA,NA,NA,NA,NA,0.53112,0.2661,0.06306,0.01392,0.11689,3.25,277.748008,40.154,4980.34868272222,17.0797978483333
145333723,"47-97",430.0312569,17.03,6,642,146,9489,10,3369.22075,7.7896,1.74,1740242.22775282,42,9.73467016,12.8,2.97,2.83754302953935,0.1483,0.39819,0.16248,0.01118,0.26671,3.1,271.840996,60.273,5637.67370811111,17.8284876311111
145333723,"47-97",430.0312569,17.03,6,642,146,9489,10,3369.22075,7.7896,1.74,1740242.22775282,42,9.73467016,12.8,2.97,2.83754302953935,0.1483,0.39819,0.16248,0.01118,0.26671,3.1,271.840996,105.566,5338.03759488889,16.6762651877778
145333723,"47-101",430.0312569,17.03,6,642,146,9489,10,3369.22075,7.7896,1.74,1740242.22775282,6,1.42608624,1.83,0.43,19.8472955071605,0.1483,0.39819,0.16248,0.01118,0.26671,3.1,271.840996,60.273,5637.67370811111,17.8284876311111
145333723,"47-101",430.0312569,17.03,6,642,146,9489,10,3369.22075,7.7896,1.74,1740242.22775282,6,1.42608624,1.83,0.43,19.8472955071605,0.1483,0.39819,0.16248,0.01118,0.26671,3.1,271.840996,105.566,5338.03759488889,16.6762651877778
145333728,"47-17",23.93602871,1.22,0,-99,-99,-99,-99,-99,0.1601,0.1,96863.8610740156,NA,NA,NA,NA,NA,0.26046,0.28982,0,0.00874,0.39475,6.05,278.961992,9.69,5054.59379166667,17.6132838711111
145333731,NA,5.564884437,0.65,0,-99,-99,-99,-99,-99,0.058,0.02,22519.8674153211,NA,NA,NA,NA,NA,0.77758,0.07586,0,0,0.10517,4.32,273.205,2.254,5052.80788811111,18.1085247594444
