"survey_number","survey_effort_key","basin_number","reading_datetime","surface_depth_m","surface_temp_c","surface_do_mgl","bottom_depth_m","bottom_temp_c","bottom_do_mgl","thermo_depth_m"
6912,35,NA,"8/16/07",0.914,26,7.4,9.144,14,0.2,7.14190561696978
6919,23,NA,"8/7/07",0.914,26.5,8.3,13.715,8.5,0.2,6.73431966633404
6924,24,NA,"8/15/07",0.914,26.5,8.1,7.62,14.5,0.2,6.3787597044033
6926,19,NA,"8/16/07",0.001,25.689,8.45,16.173,5.894,0.04,5.6773386677855
6927,34,NA,"8/6/07",0.068,25.972,8.2,9.9,10.789,0.57,5.98618658082987
6933,20,NA,"8/15/07",0,25.389,8.51,19.811,5.322,0.17,4.95801136795622
6938,33,NA,"8/21/07",0.914,20,9.4,4.267,19.444,8.6,NA
6952,29,NA,"8/24/07",0,22.394,8.36,23.02,6.344,0.48,6.19750286944106
7101,31,NA,"8/28/07",0,21.083,8.98,10.972,15.956,1,9.71666935205343
7169,30,NA,"8/27/07",0,21.283,8.75,10.058,12.189,0.19,7.75750850041425
7195,14,NA,"9/26/07",0,20.478,8.14,3.353,16.522,0.13,0.829057485601773
7224,29,NA,"8/21/07",0,20.111,8.39,5.181,19.778,6.09,NA
7232,15,NA,"9/21/07",0,19.361,9.65,9.753,6.283,0.03,5.87538095058936
7331,19,NA,"9/8/08",0.024,21.806,10.8,3.97,21.622,7.08,NA
7332,17,NA,"9/8/08",0.01,22.111,7.37,5.56,21.411,1.83,NA
7333,17,NA,"9/5/08",0.059,21.322,12.55,2.768,21.367,10.96,NA
7334,27,NA,"8/25/08",0.031,22.967,11.25,21.496,5.489,2.3,5.61516514520634
7335,19,NA,"8/25/08",0.031,22.967,11.25,21.496,5.489,2.3,5.61516514520634
7336,22,NA,"9/9/08",0.031,19.506,8.33,2.158,19.9,6.67,NA
7406,16,NA,"9/9/08",0,21.317,8.27,10.972,17.356,0.14,10.1419856381388
7419,16,NA,"9/18/08",0.305,19.556,7.38,6.705,18.65,4.83,NA
7451,22,NA,"9/2/08",0.019,24.656,13.07,6.212,22.533,0.97,3.51766821840866
7522,53,NA,"8/13/08",0.914,22.172,9.19,23.773,6.628,0.16,8.81412804416147
7523,19,NA,"8/18/08",0,23.917,10.31,13.715,4.417,0.24,4.30590744980706
7530,20,NA,"9/3/08",0.014,24.672,11.91,1.569,24.044,10.29,NA
7551,25,NA,"9/3/08",0.015,25.5,11,24.956,4.889,0.16,5.73159593107682
7551,26,NA,"9/3/08",0.046,25.756,11.29,14.925,5.878,0.2,4.4471407893607
7552,23,NA,"9/8/08",0.068,22.8,9.43,13.93,7.45,0.16,5.894104079259
7553,28,NA,"9/2/08",0.277,25.144,10.38,17.982,7.661,0.18,9.3218843224869
7553,29,NA,"9/2/08",0.094,26.128,10.56,9.113,17.817,0.31,0.2145
7557,31,NA,"8/14/08",0.413,22.5,8.85,19.276,5.772,0.11,6.50785888250353
7559,33,NA,"8/20/08",0.631,22.328,8.34,12.992,15.8,0.19,11.3453863618873
7560,20,NA,"8/12/08",0.041,24.544,8.85,10.016,8.061,0.12,7.28025470515573
7579,19,NA,"8/27/08",0,21.667,9.15,12.191,6.722,0.5,5.63153177755975
7599,18,NA,"9/8/08",0,21.911,7,12.191,8.067,0.04,6.83459506052767
7619,30,NA,"8/11/08",0.351,21.617,9.98,8.444,15.811,1.01,5.92215189522855
7646,25,NA,"8/28/08",0.008,22.961,12.07,14.358,8.05,1.93,5.94095943847625
7647,4,NA,"8/27/08",0.056,22.85,12.12,19.524,6.361,1.94,6.18015859162203
7693,21,NA,"8/25/08",0,22.611,9.2,5.181,20.944,5,0.305
7694,1,NA,"8/26/08",0,21.333,9.2,10.363,10.333,0.5,7.53276788451276
7801,37,NA,"8/5/09",0.305,19.444,10.3,9.144,15,0.4,7.2359421268486
7802,2,NA,"8/3/09",0,20,11.2,7.924,15.556,0.5,5.96404461118758
7819,25,NA,"8/12/08",0,24.072,8.84,12.385,11.222,0.06,7.56810595965528
7825,32,1,"8/11/08",0,24.261,10.42,14.951,15.478,6.33,8.25495272992601
7825,32,2,"8/11/08",0,24.567,10.22,9.763,18.633,0.81,8.74711089243352
7856,21,NA,"9/26/08",0,21.361,8.13,14.63,11.306,0.04,10.598928208596
7926,6,NA,"8/5/09",0,22.422,8.05,15.849,7.728,0.08,6.4643019378286
7927,33,NA,"8/6/09",0,21.822,8.77,16.458,15.756,0.14,8.70607941514942
7928,35,NA,"8/24/09",0,21.433,8.58,4.267,21.133,8.47,NA
8059,25,NA,"8/31/09",0,21.611,7,NA,NA,NA,4.82017978065455
8060,28,NA,"8/31/09",0,21.667,8.6,NA,NA,NA,5.50493737493475
8061,21,NA,"8/25/09",0.305,23.256,4.45,22.792,4.15,1.61,4.79030999860842
8063,27,1,"8/13/09",0.095,25,9.25,12.497,6.85,0.31,4.78007096111719
8063,27,NA,"8/18/09",0.047,26.75,9.75,20.664,5.983,0.09,3.45790581276821
8072,28,NA,"8/11/09",0.03,23.289,9.31,16.489,5.8,0.21,6.83417831753619
8075,42,NA,"8/10/09",0,23.139,8.23,12.191,15.861,0.1,9.47861199668166
8077,31,NA,"8/6/09",0.044,22.656,9.88,19.201,6.522,0.15,6.01240067526674
8081,24,NA,"8/3/09",0.124,23.178,7.62,7.923,14.039,0.4,5.06432885712502
8093,26,NA,"8/18/09",0.003,26,8.48,8.852,14.172,0.14,6.50105519930423
8109,23,NA,"8/12/09",0.023,24.456,11.48,13.437,9.556,0.15,7.45952260647642
8113,29,NA,"9/8/09",0.076,21.661,9.77,30.187,6.861,0.48,10.1497651627843
8114,20,NA,"9/24/09",0,20.5,10.92,6.4,19.778,7.14,NA
8125,21,NA,"9/10/09",0.077,21.483,10.08,14.346,7.161,0.17,8.36094770209797
8143,22,NA,"8/11/09",0,25.4,8.51,1.529,25.317,7.21,NA
8144,27,NA,"8/11/09",0.011,24.017,8.9,25.636,7.611,0.15,7.61190195229269
8166,118,NA,"8/25/06",0,24.2,8.17,10.667,12.6,0.26,5.43778663499161
8182,1,NA,"8/10/09",0.005,25.172,6.39,2.142,21.917,0.37,1.02805417999785
8183,1,NA,"8/10/09",0.007,24.45,6.95,12.812,7.95,0.13,4.99918606187192
8239,33,NA,"8/18/09",0,23.889,10.5,4.877,17.222,0.4,3.41615556823093
8241,31,NA,"8/4/09",0,20.556,11.8,1.524,19.444,2.6,1.3715
8242,11,NA,"8/4/09",0,20,10.7,1.219,20,5.4,NA
8244,1,NA,"8/19/09",0,21.667,9.4,1.524,21.667,0.5,NA
8245,1,NA,"8/20/09",0,22.722,12.9,8.534,7.222,0.4,2.87362828291327
8246,1,NA,"8/17/09",0.305,22.778,11.1,8.229,18.333,0.2,6.99728761028218
8250,41,NA,"9/1/09",0,19.728,8.82,30.174,7.067,6.74,13.3084499841292
8267,1,NA,"8/26/09",0,19.844,9.63,7.322,13.078,0.25,5.68093184948626
8269,2,NA,"8/18/09",0,24.444,11.4,1.524,23.889,0.9,NA
8390,47,NA,"8/2/10",0,25.161,6.8,25.297,4.422,0.66,4.22248913140754
8391,20,NA,"8/3/10",0,26.289,11.33,5.486,16.978,0.42,4.10036547426289
8392,1,NA,"8/4/10",0,27.456,10.67,18.592,6.906,0.51,5.13016939298182
8392,33,NA,"8/4/10",0,27.456,10.67,18.698,6.906,0.51,5.19001247642781
8393,33,NA,"8/5/10",0,26.35,11.63,8.534,21.25,3.66,5.16507978168476
8394,25,NA,"8/6/10",0,25.761,11.9,6.705,25.633,11.55,NA
8434,30,NA,"8/12/10",0,29.089,9.8,10.972,14.906,0.24,7.63441693757414
8434,31,NA,"8/12/10",0,26.872,8.21,21.945,23.75,3.31,21.4875
8471,41,41,"8/11/10",0.335,26.811,9.21,7.572,21.911,0.05,3.8850248276491
8475,33,NA,"8/18/10",0.005,24.217,11.4,21.746,7.861,0.36,8.12843798219661
8477,22,NA,"8/9/10",0.914,23.5,7.1,22.249,8.722,0.7,6.76407631052131
8478,1,NA,"8/30/10",0,23.556,12.5,4.877,23.444,10.3,NA
8489,25,NA,"8/11/10",0.305,25.489,8.38,2.743,22.061,6.15,2.18939000436243
8490,21,NA,"8/11/10",0,25.006,8.09,1.219,25.017,7.82,NA
8491,50,NA,"8/10/10",0,27.167,8.64,9.144,12.561,0.24,7.45053252261134
8508,22,NA,"8/30/10",0,25.728,7.95,14.934,6.589,0.18,5.58139523235404
8515,43,NA,"8/27/10",0,23.306,8.93,19.811,5.144,0.13,6.04530978675224
8524,26,NA,"8/12/10",0.352,25.872,9.83,7.311,23.972,1.18,3.94413116769732
8530,53,NA,"9/2/10",0,23.222,10.3,12.801,12.722,0.1,8.68714973512891
8531,1,NA,"8/30/10",0,25.761,9.58,15.349,11.261,0.27,5.60585665258808
8532,20,NA,"8/17/10",0,25.694,7.74,18.287,4.261,0.35,4.29855930343424
8542,47,NA,"8/19/10",0,26.161,11.8,10.058,8.133,0.38,3.90721847266645
8548,30,NA,"8/31/10",0,24.572,8.77,5.791,24.439,8.14,NA
8549,29,NA,"8/11/10",0,27,8.6,1.981,25.056,5.07,NA
8551,30,NA,"8/10/10",0.305,22.833,10.3,7.315,21.222,7.4,0.4575
8566,43,NA,"8/30/10",0.305,22.65,10.08,NA,NA,NA,9.62864597370371
8653,35,NA,"9/1/10",0,26.022,9.64,22.591,9.072,0.31,6.98973591938438
