"survey_number","survey_effort_key","basin_number","TDO3"
11363,22,1,"17.6352010050251"
11364,21,1,"NA"
11374,130,1,"9.76425"
11377,27,1,"NA"
11439,30,NA,"NA"
11454,42,1,"10.146"
11456,43,NA,"NA"
11457,30,1,"NA"
11458,1,1,"19.9145240641711"
11499,24,NA,"15.2656206896552"
11502,22,NA,"22.8411551724138"
11599,1,NA,"NA"
11600,1,NA,"6.93028169014084"
11601,16,NA,"21.2887941176471"
11611,1,NA,"17.6148421052632"
11658,32,1,"16.2610815109344"
11659,29,1,"8.57324246575343"
11688,28,1,"NA"
11689,31,1,"NA"
11691,28,1,"NA"
11691,28,7,"NA"
11692,31,1,"14.9591196911197"
11725,37,1,"16.3160526315789"
11729,27,1,"21.28475"
11733,93,NA,"NA"
11745,28,1,"7.99122556390977"
11746,23,1,"16.225461928934"
11779,35,1,"6.26978571428571"
11780,26,1,"16.639935483871"
11781,31,1,"6.77486738351254"
11782,34,1,"19.8845942028985"
11784,34,1,"19.0049806451613"
11795,1,NA,"NA"
11908,19,NA,"NA"
11914,26,NA,"14.8117943262411"
11982,27,1,"20.6609076923077"
11984,26,1,"11.0417857142857"
11986,16,1,"4.778"
12009,28,1,"10.5983404255319"
12011,28,1,"21.9740515021459"
12013,25,1,"21.7010198019802"
12014,31,1,"7.92924137931035"
12015,27,1,"21.1859953161593"
12016,14,1,"17.1299299610895"
12019,36,1,"18.669556802244"
12020,54,1,"19.9024375"
12027,17,1,"NA"
12034,25,1,"NA"
12044,29,1,"11.3181134020619"
12046,1,1,"14.1374066852368"
12047,1,1,"NA"
12048,23,1,"11.202"
12051,7,NA,"NA"
12071,1,1,"NA"
12072,28,1,"18.2156745098039"
12103,1,NA,"19.2498409090909"
12104,1,NA,"19.3308653846154"
12105,1,NA,"17.2966666666667"
12106,1,NA,"NA"
12107,1,NA,"5.45288888888889"
12109,34,NA,"21.9878852140078"
12144,23,NA,"15.4154514084507"
12154,19,NA,"22.2104792626728"
12177,19,NA,"NA"
12242,27,1,"10.3277846153846"
12471,17,NA,"22.4951399747793"
