"OBJECTID","IHDID","lake_name","New_Key","Area_ac","Volume_ac_ft","MeanDepth_ft","MaxDepth_ft"
994,123393006,"Lake On-Three","31-84",24.21484475,401.39798166,16.57652509,46
995,123394263,"Hehe Lake","36-2063",6.13562662,22.64053637,3.69001208,7
996,123397714,"Dumbell Lake","27-284",5.65821902,66.96753522,11.83544414,35
997,123397860,"Brown Lake","27-298",72.63613267,708.75037328,9.75754555,17
998,44364560,"Moccasin Lake","2-2",80.88599294,1233.54808744,15.25045367,23
999,44365654,"Toms Lake","75-542",27.58412663,259.08863339,9.39267126,41
1000,86671661,"Whitmarsh Lake","17-267",11.40712572,56.5729238,4.95943721,8
1001,86672271,"Big Dollar Lake","49-336",61.02811027,323.81381083,5.30597801,9
1002,75472993,"Carney Lake","22-65",109.33227024,1574.96593275,14.40531628,35
1003,82816466,"Feeder Lake","43-140",7.64272234,11.38723374,1.48994471,2
1004,82818010,"Nichols Lake","62-358",143.03695006,2297.37678573,16.06142178,53
1005,82820094,"Britton Lake","61-154",25.57293593,261.32604907,10.21885206,23
1006,82820404,"Mona Lake","61-7",668.03827905,9870.68833945,14.77563285,42
1007,109945430,"East Lake","2-562",12.42594121,50.70281191,4.08040011,6
1008,110734687,"Lake 41","52-1444",4.60975089,65.031341,14.10734388,31
1009,110735835,"Horseshoe Lake","52-661",128.94230621,1130.39357529,8.76666168,24
1010,118252977,"Rifle Lake","65-149",182.72158011,4847.28192763,26.52823998,71
1011,118253143,"South Dease Lake","65-152",273.74433001,3740.70152729,13.66494615,34
1012,60091018,"Center Lake","67-377",40.5682789,748.87534513,18.4596282,38
1013,83977511,"Harper Lake","65-216",8.77174683,159.72026989,18.20849062,36
1014,83975837,"Clear Lake","69-8",36.23553314,837.0363676,23.09987725,58
1015,111860649,"Gilbert Lake","36-680",61.56086947,652.91691234,10.60603786,32
1016,121858689,"Bluegill Lake","18-295",14.9968256,183.77844983,12.25449003,36
1017,123397651,"Big African Lake","27-265",975.58044762,10760.7837923,11.03013475,38
1018,123397651,"Big African Lake","27-275",558.3150881,5022.68066331,8.99613994,22
1019,44361058,"Sand Lake","2-592",53.61148935,601.1656323,11.2133731,22
1020,44361292,"Deerfoot Lake","2-612",44.8019354,242.78511453,5.41907648,13
1021,44364620,"Coattail Lake","75-460",52.59341518,573.62005411,10.90668959,26
1022,75475931,"Becher Lake","55-24",53.46792113,438.17133966,8.19503228,24
1023,75475931,"Becher Lake","55-28",130.99155114,1778.71865188,13.57888075,41
1024,75475931,"Becher Lake","55-31",67.94706095,820.53689417,12.07612048,44
1025,82815224,"Sauble Lake #4","43-195",39.03622553,614.75346302,15.74828136,26
1026,82816692,"Switzer Lake","43-43",9.84616103,183.92300648,18.67966672,30
1027,82817048,"Cecilia Lake","43-89",58.79996105,924.21057473,15.71787733,32
1028,110735863,"Island Lake","52-662",50.95856598,340.99776616,6.69166723,28
1029,118045457,"Millaquaka Lake","75-101",28.66694241,73.81025389,2.57475153,4
1030,118253029,"North Dease Lake","65-143",163.38212454,2534.31353364,15.51157167,48
1031,123147563,"Sunday Lake","27-1063",219.74513232,648.88229922,2.95288588,5
1032,121859037,"Wells Lake","67-288",47.81044342,989.72994886,20.70112465,83
1033,121860154,"Blue Lake","54-53",231.10852039,3549.07587541,15.35675045,50
1034,129226207,"Ellis Lake","28-120",41.63404441,426.77558078,10.25063952,23
1035,44360924,"Gypsy Lake","2-581",36.826115,156.21186769,4.24187747,8
1036,44361566,"Crooked Lake","2-748",44.14636482,98.27504574,2.22611864,4
1037,44364990,"Bluegill Lake","75-431",25.22649418,279.25033212,11.06972416,31
1038,44366522,"Square Lake","21-261",3.94034241,10.74241225,2.72626364,6
1039,44366612,"Wolf Lake","21-262",35.78950792,88.61334887,2.47595885,6
1040,86672163,"Nelson Lake","49-371",32.34757707,61.63228293,1.90531374,6
1041,82818180,"Gilbert Lake","64-130",177.82741093,421.74661561,2.37166258,14
1042,109944556,"Little Two Hearted Lake #4","48-282",23.14314871,193.98402564,8.3819202,36
1043,109946172,"Au Train Lake","2-361",837.29063904,7503.69529591,8.96187649,29
1044,83977505,"River Lakes","35-182-184",10.94553287,141.09556663,12.89069872,31
1045,70330187,"Fisher Lake","27-238",27.76723172,373.61839467,13.45537065,39
1046,121857961,"Crooked Lake","57-53",501.05409937,2565.57014045,5.12034557,12
1047,121859245,"Pike Lake","18-173",14.49347194,97.30898725,6.71398735,22
1048,121860605,"Twinwood Lake","62-176",38.1303372,480.28637469,12.59591207,23
1049,122383039,"Drum Lake","71-49",95.13458344,881.4572665,9.26537159,31
1050,123397739,"Devils Head Lake","27-104",92.80240285,1713.00344673,18.45861092,46
1051,129225367,"Stevens Lake","10-61",38.73698091,893.19489567,23.05793778,54
1052,129225924,"Turtle Lake","10-34",45.22077902,340.11535284,7.52121835,21
1053,44361150,"Porky Lake (North)","2-603",10.29193914,92.2214581,8.96055222,26
1054,44364836,"Neds Lake","75-489",13.34566744,131.79143126,9.87522219,41
1055,86671373,"Deadmans Lake","48-190",26.85813102,476.63082123,17.74623934,52
1056,86671677,"West Lake","17-282",6.74103481,21.53819926,3.19508798,6
1057,75474195,"Mary Lake","22-14",86.95836058,1960.86571198,22.54947884,82
1058,105233891,"Pelissier Lake","52-994",89.38147595,194.33750989,2.17424816,6
1059,82817604,"Bass Lake","53-63.1",420.38951285,1142.7067129,2.71820937,4
1060,82818018,"Black Lake","64-216",25.80669762,256.01822547,9.92061167,24
1061,109945688,"Sand Lake","2-474",66.59218215,241.6311324,3.62852102,8
1062,113236163,"Waco Lake","21-314",20.2453439,223.07957233,11.01880874,26
1063,117627609,"Elginor Lake","31-160",12.00240259,30.82540792,2.56826979,6
1064,117627733,"Petrow Lake","36-1528",35.20485659,174.38362678,4.95339688,9
1065,118044907,"Little Brevoort Lake","49-97",163.40955324,1099.92004544,6.73106329,11
1066,118253147,"George Lake","65-151",186.43359716,3678.04375703,19.72843851,95
1067,60087708,"Timber Lake","40-278",12.2969522,276.0532827,22.4489189,50
1068,83975847,"Little Bass Lake","69-47",16.24050699,255.5397059,15.73471235,42
1069,123397324,"Kerr Lake","27-179",7.22634978,97.52977591,13.49640952,30
1070,123397524,"Mountain Lake","27-168",108.96087085,2625.93563764,24.09980406,60
1071,44361196,"Pickerel Lake","2-599",69.52680566,398.29495583,5.72865317,15
1072,44364078,"Upper Twin Lake","2-202",13.76253422,189.03574037,13.73553281,29
1073,44365172,"Ford Lake","75-214",62.27401561,340.77512421,5.47218805,17
1074,44365866,"Muleshoe Lake, North","75-338",26.8388568,193.57086544,7.21233646,21
1075,86671087,"Quintus Lake","48-127",7.3145664,39.04549198,5.33804601,7
1076,111830547,"Dukes Lake","17-240",10.96480709,217.69032752,19.85354833,51
1077,105232351,"Pinery Lakes","7-920",53.04981882,395.93930023,7.46353728,15
1078,117626885,"Big Lake","7-540",121.97121629,497.92772208,4.08233793,33
1079,60089616,"Meauwataka Lake","83-178",82.99577868,1670.32661761,20.12544064,48
1080,83977201,"Loon Lake","68-35",87.92133025,1370.75421537,15.59069013,56
1081,70330487,"Finger Lake","27-7",62.89523853,1042.68809159,16.57817215,32
1082,111864605,"First Fortune Lake","36-131",132.47591316,3678.66979851,27.76859363,82
1083,111864605,"First Fortune Lake","36-132",101.43058146,2079.49396312,20.50164687,57
1084,111864605,"First Fortune Lake","36-352",186.40468583,4279.33603084,22.95723421,71
1085,111860009,"Robinson Lake","36-2073",77.83646542,1030.48738693,13.23913389,23
1086,123111245,"Caribou Lake","17-47",854.08392076,5947.82912652,6.96398677,17
1087,121858908,"Lily Lake","18-123",226.9166247,790.10327184,3.48191003,9
1088,122382799,"Ocqueoc Lake","71-154",130.24084499,1978.39833301,15.19030634,30
1089,129226201,"Glen Lake","45-86",5092.68574144,378896.927875,74.40021771,142
1090,129225633,"Upper Woodcock Lake","10-122",34.73708611,1203.65673787,34.65048088,54
1091,44364070,"Mirror Lake","2-188",38.42636945,753.43938152,19.60735277,41
1092,44364212,"Kennedy Lake","75-365",135.03444228,444.2254215,3.28971938,8
1093,44364544,"Crescent Lake","75-371",5.49587079,33.99688193,6.18589542,15
1094,44365032,"Tee Lake","75-212",132.57549663,553.10240008,4.1719806,10
1095,44365590,"Hub Lake","75-548",9.7895739,25.80286749,2.6357498,6
1096,82815184,"Bullhead Lake","43-278",9.12041252,13.85408676,1.51901975,5
1097,82815358,"Ford Lake","53-135",182.5048687,6474.26860883,35.47449805,84
1098,82817956,"Walkup Lake","62-461",63.83275635,484.43428562,7.58911746,16
1099,82819488,"Robinson Lake","62-188",134.38875592,2518.30505861,18.73895655,33
1100,109943394,"Andrus Lake","17-515",33.92015571,525.41992551,15.48990311,29
1101,109944058,"Old Headquarters Lake","48-577",10.58006401,50.15473217,4.74049421,10
1102,110734323,"Hasseib Lake","52-1588",37.92548684,803.52158826,21.18684967,50
1103,113470399,"Grass Lake","60-226",322.05911551,1529.16902753,4.74810044,7
1104,113471143,"Lockwood Lake","60-59",126.79570176,565.57726816,4.46053975,18
1105,113471599,"Crooked Lake","1-138",86.04827146,1068.44796274,12.41684399,28
1106,83976003,"Snyder Lake","68-144",148.95660658,944.32532344,6.33960014,22
1107,111861517,"Stager Lake","36-17",117.38815278,2214.38681402,18.86380151,55
1108,123147725,"Bluejay Lake","27-885",6.27622958,86.11091268,13.72016615,36
1109,121860628,"Emerald Lake","62-82",76.49591873,1401.76581719,18.32471379,49
1110,123391340,"Duck Lake","66-307",13.28290268,12.35156249,0.92988429,2
1111,123394245,"Bela Lake","36-1966",72.06729608,272.9449441,3.78736208,8
1112,123397678,"Louise Lake","27-200",5.35650335,45.15220728,8.42941828,18
1113,129225172,"Cedar Hedge Lake","28-110",184.7503153,3427.26737801,18.55080665,69
1114,44364108,"Muddy Lake","2-189",41.01306858,131.91078316,3.21631099,6
1115,44364108,"Muddy Lake","2-190",51.12091421,304.32918084,5.95312477,11
1116,86671875,"East Lake","48-43",129.59169915,1454.81081746,11.22611114,21
1117,116543785,"Courtney Lake","66-447",30.93339297,466.00603114,15.0648211,40
1118,109946050,"Perch Lake","2-343",131.25274153,1778.36961553,13.54919977,33
1119,113236011,"Dana Lake","21-479",91.4868138,1017.78505835,11.1249372,27
1120,113471097,"McCormick Lake","60-74",93.09126904,4094.43794652,43.98305006,88
1121,118043971,"Garnet Lake","49-237",46.93198379,263.7453343,5.61973548,10
1122,60090692,"Timmerman Lake","51-30",9.3077184,104.17060948,11.19185228,31
1123,60091174,"Elbow Lake","43-250",56.95284832,466.54336179,8.19174766,31
1124,83975631,NA,"69-344",9.08680619,74.06378401,8.1506948,22
1125,111861383,"Brule Lake","36-192",218.16217524,2397.65746229,10.99025282,21
1126,111860937,"Sunset Lake","36-355",559.74360431,9540.28632849,17.04402919,54
