"Water_Body_Key","Water_Body_Name","FMU_Code","survey_number","Year","Survey_Purpose","new_key","Located_Town","Located_Range","Located_Section","primary_county_name","FirstOfSurvey_Begin_Timestamp","LastOfEnding_Effort_Timestamp","LONG_DD","LAT_DD","IHDLKID"
"29N14W2402","Fisher Lake","MI-MCM",8115,2009,"Status & Trends","45-58","29N","14W",24,"Leelanau","5/27/09","5/29/09",-85.9479,44.89596,129226200
"29N14W2502","Little Glen Lake","MI-MCM",8116,2009,"Status & Trends","45-86","29N","14W",25,"Leelanau","6/1/09","6/15/09",-85.94269,44.88849,129226201
"29N14W2501","Glen Lake","MI-MCM",8250,2009,"Status & Trends","45-86","29N","14W",25,"Leelanau","5/26/09","7/15/09",-85.94269,44.88849,129226201
"06S01E1101","Round Lake","MI-MER",10590,2015,"Status & Trends","46-163","06S","01E",11,"Lenawee","5/11/15","5/20/15",-84.27565,41.96721,NA
"05S02E1001","Allen Lake","MI-MER",11355,2017,"Status & Trends","46-56","05S","02E",10,"Lenawee","5/30/17","8/22/17",-84.1837,42.05721,151873978
"05S02E1004","Kelly Lake","MI-MER",3517,2002,"Status & Trends","46-76","05S","02E",10,"Lenawee","5/7/02","9/10/02",-84.16981,42.05304,151873976
"05S02E1002","Killarney Lake","MI-MER",3326,2002,"Status & Trends","46-77","05S","02E",10,"Lenawee","5/7/02","9/10/02",-84.1712,42.04916,151873979
"05S02E1201","Sand Lake","MI-MER",4024,2003,"Status & Trends","46-80","05S","02E",12,"Lenawee","5/27/03","9/3/03",-84.13731,42.04721,151873969
"05S02E1801","Deep Lake","MI-MER",8508,2010,"Status & Trends","46-91","05S","02E",18,"Lenawee","5/17/10","8/30/10",-84.23787,42.03332,151874030
"12620","Strawberry Lake","MI-MER",4554,2004,"Status & Trends","47-101","01N","05E",27,"Livingston","5/24/04","8/19/04",-83.84148,42.44916,145333723
"01N05E28","Gallagher Lake","MI-MER",4555,2004,"Status & Trends","47-102","01N","05E",33,"Livingston","5/24/04","8/19/04",-83.86231,42.44249,145333772
"01S06E0501","Whitmore Lake","MI-MER",7553,2008,"Status & Trends","47-153","01N","06E",32,"Livingston","5/27/08","6/5/08",-83.75036,42.43677,145333719
"02N05E0401","Lake Chemung","MI-MSH",6926,2007,"Status & Trends","47-252","02N","05E",4,"Livingston","5/21/07","8/16/07",-83.8487,42.58221,148710583
"03N04E2501","Thompson Lake","MI-MSH",5508,2005,"Status & Trends","47-379","03N","04E",25,"Livingston","5/16/05","8/31/05",-83.91287,42.61249,148710561
"03N04E2501","Thompson Lake","MI-MSH",11659,2018,"Status & Trends","47-379","03N","04E",25,"Livingston","5/29/18","8/15/18",-83.91287,42.61249,148710561
"04N08E0601","Hoisington Lake","MI-MSH",8392,2010,"Status & Trends","47-469","04N","06E",6,"Livingston","5/24/10","8/4/10",-83.79898,42.76916,148710308
"04N05E0101","Bennett Lake","MI-MSH",6281,2006,"Status & Trends","47-472","04N","05E",1,"Livingston","5/22/06","8/26/06",-83.82037,42.77166,NA
"04N05E0101","Bennett Lake","MI-MSH",11982,2019,"Status & Trends","47-472","04N","05E",1,"Livingston","5/6/19","8/27/19",-83.82037,42.77166,NA
"04N05E0801","Indian Lake, Central","MI-MSH",10478,2015,"Status & Trends","47-485","04N","05E",8,"Livingston","6/1/15","8/18/15",-83.88943,42.74425,148710390
"04N05E0802","Indian Lake, North","MI-MSH",10479,2015,"Status & Trends","47-486","04N","05E",8,"Livingston","6/1/15","6/1/15",-83.89642,42.74975,148710379
"11135","Indian Lake","MI-MSH",10477,2015,"Status & Trends","47-495","04N","05E",17,"Livingston","6/1/15","6/4/15",-83.88898,42.74082,148710418
"04N05E0301","Bishop Lake","MI-MER",6901,2007,"Status & Trends","47-68","04N","05E",3,"Livingston","5/7/07","9/13/07",-83.84759,42.49971,145332956
"01N05E0801","Lime (Chenango) Lake","MI-MER",4030,2003,"Status & Trends","47-73","01N","05E",6,"Livingston","5/20/03","5/20/03",-83.89454,42.50416,145332941
"11844","Mud Lake","MI-MES",8536,2010,"Status & Trends","48-105","46N","11W",27,"Luce","5/24/10","",-85.65815,46.34582,86671755
"47N11W1701","Bass Lake","MI-MES",7694,2008,"Status & Trends","48-171","47N","11W",17,"Luce","6/23/08","6/26/08",-85.71704,46.46388,86671161
"47N11W3002","Syphon Lake","MI-MES",9222,2013,"Status & Trends","48-175","47N","11W",30,"Luce","5/7/12","5/9/13",-85.73954,46.44804,86671343
"47N11W3501","Silver Creek Pond","MI-MES",8538,2010,"Status & Trends","48-197","47N","11W",35,"Luce","4/20/10","",-85.64868,46.42843,86671411
"47N12W0901","Belle Lake 1","MI-MES",3884,2002,"Status & Trends","48-222","47N","12W",9,"Luce","6/17/02","6/21/02",-85.80831,46.4861,86671053
"47N12W0901","Belle Lake 1","MI-MES",11600,2018,"Status & Trends","48-222","47N","12W",9,"Luce","6/4/18","6/10/18",-85.80831,46.4861,86671053
"47N12W0902","Belle Lake 2","MI-MES",12154,2019,"Status & Trends","48-223","47N","12W",9,"Luce","6/11/19","6/14/19",-85.81606,46.48354,86671079
"45N10W0901","Kaks Lake","MI-MES",12144,2019,"Status & Trends","48-24","45N","10W",9,"Luce","5/21/19","7/28/19",-85.5726,46.30221,86671873
"45N10W1101","Twin Lake","MI-MES",8245,2009,"Status & Trends","48-28","45N","10W",11,"Luce","6/22/09","8/2/09",-85.52929,46.30777,86671829
"49N11W3405","Long Lake","MI-MES",4671,2004,"Status & Trends","48-330","49N","11W",34,"Luce","6/22/04","6/25/04",-85.66788,46.59499,109944390
"45N11W1101","East Lake","MI-MES",6376,2006,"Status & Trends","48-43","45N","11W",11,"Luce","5/30/06","6/1/06",-85.65454,46.30582,86671875
"45N11W1101","East Lake","MI-MES",9600,2013,"Status & Trends","48-43","45N","11W",11,"Luce","6/3/13","6/7/13",-85.65454,46.30582,86671875
"49N07W3001","Clark Lake","MI-MES",8244,2009,"Status & Trends","48-449","49N","07W",30,"Chippewa","7/7/09","7/9/09",-85.24751,46.62161,109943752
"49N07W3001","Clark Lake","MI-MES",10913,2016,"Status & Trends","48-449","49N","07W",30,"Chippewa","5/23/16","5/26/16",-85.24751,46.62161,109943752
"50N09W3602","Muskrat Lake East","MI-MES",3878,2002,"Status & Trends","48-461","50N","09W",36,"Luce","6/11/02","6/12/02",-85.36953,46.68089,109943466
"50N09W3603","Muskrat Lake West","MI-MES",3879,2002,"Status & Trends","48-462","50N","09W",36,"Luce","6/11/02","6/12/02",-85.37319,46.68027,109943476
"49N09W1401","Pike Lake","MI-MES",10915,2016,"Status & Trends","48-480","49N","09W",14,"Luce","6/6/16","6/13/16",-85.40732,46.64193,109943660
"49N09W1501","Little Pike Lake","MI-MES",3465,2002,"Status & Trends","48-481","","",NA,"","","",-85.4251,46.64471,109943654
"49N09W1701","Little Perch Lake","MI-MES",4040,2003,"Status & Trends","48-485","49N","09W",17,"Luce","5/27/03","8/22/03",-85.45093,46.64749,109943662
"11998","Round (North Manistique) Lake","MI-MNM",4087,2003,"Status & Trends","48-49","45N","12W",13,"Luce","6/9/03","6/12/03",-85.73899,46.28749,44362910
"11998","Round (North Manistique) Lake","MI-MNM",10110,2014,"Status & Trends","48-49","45N","12W",13,"Luce","6/16/14","6/25/14",-85.73899,46.28749,44362910
"11998","Round (North Manistique) Lake","MI-MNM",12103,2019,"Status & Trends","48-49","45N","12W",13,"Luce","8/22/19","8/22/19",-85.73899,46.28749,44362910
"44N12W0201","Manistique Lake","MI-MNM",4085,2003,"Status & Trends","48-53","44N","12W",2,"Mackinac","6/16/03","6/20/03",-85.78343,46.23332,44363696
"44N12W0201","Manistique Lake","MI-MNM",9601,2013,"Status & Trends","48-53","44N","12W",2,"Mackinac","6/10/13","8/29/13",-85.78343,46.23332,44363696
"49N11W0201","Muskallonge Lake","MI-MES",4673,2004,"Status & Trends","48-566","49N","11W",2,"Luce","6/7/04","8/1/04",-85.63177,46.66943,109943604
"49N11W0201","Muskallonge Lake","MI-MES",10107,2014,"Status & Trends","48-566","49N","11W",2,"Luce","6/9/14","6/24/14",-85.63177,46.66943,109943604
"49N11W0201","Muskallonge Lake","MI-MES",12106,2019,"Status & Trends","48-566","49N","11W",2,"Luce","8/16/19","8/16/19",-85.63177,46.66943,109943604
"49N10W1902","Perch Lake","MI-MES",8535,2011,"Status & Trends","48-573","49N","10W",19,"Luce","6/1/10","",-85.59649,46.6311,109943956
"49N10W2301","Cris Brown Lake","MI-MES",12471,2020,"Status & Trends","48-583","49N","10W",23,"Luce","6/29/20","7/2/20",-85.5076,46.6261,109943970
