"IHDID","IHDLKID","NEW_KEY","ACRES_IHD","GNIS_NAME","PERIM_KM","LAKE_CODE","STRAHLER","LINK","UP_LAKES","UP_LAKE_ACRES","DOWN_LAKES","DOWN_LAKE_ACRES","WL_KM2","UPSTREAM_CATCH"
123395016,123395016,"",5.964864831,"Avant Pond",0.78,3,-99,-99,-99,-99,-99,-99,1.7058,0
123395019,123395019,"",5.365857211,"",1.66,1,1,1,0,0,3,2441.223864,0.505,1
123395051,123395051,"",15.38208811,"Temple Lake",1.07,3,-99,-99,-99,-99,-99,-99,0.0483,0
123395113,123395113,"",7.954828677,"Hobo Lake",0.8,3,-99,-99,-99,-99,-99,-99,0.2025,0
123395128,123395128,"",7.642314981,"Avaunt Pond",1.09,3,-99,-99,-99,-99,-99,-99,0.354,0
123395207,123395207,"",8.716643249,"",1.4,1,1,1,0,0,3,2441.223864,0.3162,1
123395368,123395368,"",6.345501954,"Pelton Pond",0.67,3,-99,-99,-99,-99,-99,-99,0.0381,0
123395384,123395384,"",15.3338607,"Blair Lake",1.1,1,2,5,0,0,1,294.398634,0.5892,1
123395392,123395392,"",8.638881634,"",0.94,3,-99,-99,-99,-99,-99,-99,0.2965,0
123395412,123395412,"",7.148042207,"Fisher Lake",0.8,3,-99,-99,-99,-99,-99,-99,0.2563,0
123395415,123395415,"",62.31004905,"Sun Dance Lake",3.75,2,1,0,0,0,2,13373.74877,2.1836,0
123395423,123395423,"",49.55315356,"Deadman Lake",2.68,3,-99,-99,-99,-99,-99,-99,0.9512,0
123395434,123395434,"",5.214969554,"Bracken Lake",0.85,3,-99,-99,-99,-99,-99,-99,0.1014,0
123395468,123395468,"",6.546631718,"Arc Lake",1.74,3,-99,-99,-99,-99,-99,-99,0.465,0
123395500,123395500,"",6.302745903,"",1.21,1,3,9,0,0,2,13373.74877,0.058,1
123395502,123395502,"",12.41801148,"Hemlock Lake",0.94,3,-99,-99,-99,-99,-99,-99,0.0851,0
123395534,123395534,"",8.074982746,"",0.68,1,1,1,0,0,5,2551.483396,0.1901,1
123395548,123395548,"",12.26576331,"",1,3,-99,-99,-99,-99,-99,-99,0.1672,0
123395554,123395554,"",69.87497487,"County Line Lake",3.05,3,-99,-99,-99,-99,-99,-99,0.4976,0
123395571,123395571,"",10.9477633,"",1.3,1,1,1,0,0,1,294.398634,0.1061,1
123395599,123395599,"",77.8760691,"Little Beatons Lake",2.24,1,3,8,1,320,1,294.398634,0.8408,1
123395611,123395611,"",7.601480917,"Dragon Pond",0.84,3,-99,-99,-99,-99,-99,-99,0.0281,0
123395631,123395631,"",24.84873058,"Buck Lake",1.19,1,2,2,1,8,4,2526.634665,1.5133,1
123395654,123395654,"",26.22483479,"Brush Lake",1.87,1,3,54,1,463,1,294.398634,0.2603,1
123395657,123395657,"",7.731582613,"Little Castle Lake",0.77,3,-99,-99,-99,-99,-99,-99,0.4022,0
123395660,123395660,"",33.1396969,"Castle Lake",2.1,3,-99,-99,-99,-99,-99,-99,1.0576,0
123395671,123395671,"",320.4273929,"Beatons Lake",11.13,1,2,6,0,0,2,372.274703,1.3706,1
123395682,123395682,"",15.0112047,"",1.1,1,2,2,0,0,2,13373.74877,0.1724,1
123395742,123395742,"",10.18905412,"",0.94,3,-99,-99,-99,-99,-99,-99,0.1373,0
123395751,123395751,"",67.89731366,"Crane Lake",2.19,3,-99,-99,-99,-99,-99,-99,0.7556,0
123395759,123395759,"",19.23410473,"Ox Yoke Lake",2.08,3,-99,-99,-99,-99,-99,-99,0.2995,0
123395765,123395765,"",85.41080101,"Perch Lake",2.66,1,2,3,2,32,3,2441.223864,0.7151,1
123395770,123395770,"",9.514868582,"Jaybird Lake",0.74,1,2,2,0,0,0,0,1.0705,1
123395779,123395779,"",6.373494059,"",1.08,3,-99,-99,-99,-99,-99,-99,0.4664,0
123395785,123395785,"",6.067507573,"Corssbill Lake",0.6,1,1,1,0,0,1,294.398634,1.2173,1
123395801,123395801,"",23.71601519,"Hartley Lake",1.23,3,-99,-99,-99,-99,-99,-99,1.2334,0
123395815,123395815,"",5.863940884,"",0.8,3,-99,-99,-99,-99,-99,-99,0.1778,0
123395981,123395981,"",25.49238626,"Banner Lake",1.41,3,-99,-99,-99,-99,-99,-99,0.2606,0
